Session,Session Date,Topics
1,17-Oct,"R Basics and Reproducibility Tools (Git/Github, Notebooks)"
2,18-Oct,Summarizing and Visualizing data
3,19-Oct,Modeling and testing
4,24-Oct,Data wrangling I
5,26-Oct,Data Wrangling II and misc. Analysis skills
